id,track_name,period,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature,popularity
2RDWXVl0Wu3WMuxBM21uD8,ツェルニー 40番練習曲: 32. Presto volante,ロマン派前期,カール・チェルニー,0.990163934,0.313686446,0.125841451,0.145163003,0.896582301,0.065938865,0.164414012,0.813672294,1,0,71680,4,0
7FhvjWkCPJx7Xwh2H2KxNb,"鏡, M. 43: III. 洋上の小舟",印象派,モーリス・ラヴェル,0.983606557,0.68007434,0.228637048,0.244982478,0.938563743,0.062445415,0.161576784,0.541331726,1,2,529800,3,5
3ehiqPztNaNuVk9SwYRuYL,ショパン:ワルツ第4番 ヘ長調 作品34の3「華麗なる円舞曲」,ロマン派前期,フレデリック・ショパン,0.986885246,0.39997345,0.018769304,0.057555485,0.925252554,0.027074236,0.58537934,0.616057074,1,5,126467,4,9
2uzmwXq1kSrfysbIJt1D9Q,6つの小品 作品 118 6 間奏曲変ホ短調,ロマン派中期,ヨハネス・ブラームス,0.970491803,0.392008496,0.255563475,0.680365297,0.947779182,0.144104803,0.187849068,0.721764469,0,10,297400,3,0
6b6AfVtP2Ki1mpMRiALZjW,子供はねむる,ロマン派前期,ロベルト・シューマン,0.993442623,0.240674366,0.255563475,0.11967718,0.844361483,0.134934498,0.491756401,0.315916399,0,4,146800,4,0
0VGBXrf8eCyfoTOWF2hwz9,"Piano Sonata in E-Flat Major, Hob. XVI:52: III. Finale. Presto",古典派,フランツ・ヨーゼフ・ハイドン,0.980327869,0.510155317,0.117605132,0.520016991,0.918084991,0.139737991,0.30257808,0.631765809,1,3,314173,4,12
6nAw7ut799lREABsoBJaiM,呪われた場所,ロマン派前期,ロベルト・シューマン,0.996721311,0.311031462,0.020669993,0.11861527,0.945731306,0.216593886,0.788788481,0.449222937,0,7,210520,4,0
0Y5IQAvPfe0Zncej7NOxEN,夕べの歌,印象派,ニコライ・メトネル,0.993442623,0.498207885,0,0.012424339,0.943683431,0.065938865,0.578386801,0.517316452,0,5,262333,4,10
3gHsjWEGw2XPmrwGFOwiNo,"鏡, M. 43: IV. 道化師の朝の歌",印象派,モーリス・ラヴェル,0.645901639,0.068100359,0.222301418,0.022087714,0.364134742,0.072925764,0.497391761,0.567993033,1,2,441707,4,7
4AlMfn0TWQoHYpiebtH0Ri,Gnossienne No. 5: 5ieme Gnossienne. Modere,印象派,エリック・サティ,0.947540984,0.437143236,0.342678388,0.152596368,0.885318987,0.055021834,0.201633082,0.587051179,1,7,148840,4,17
1e0OEDVsgtsaHTiIJNooBE,22. アンダンテ ハ長調,古典派,フランツ・ヨーゼフ・ハイドン,0.996721311,0.50086287,0.355349648,0.951152172,0.912965303,0.310043668,0.448058621,0.59375,1,0,112693,4,1
71QR85ncRpg3fbcIDSlknO,14. ソナタ ハ長調: II. Andante,古典派,ヴォルフガング・アマデウス・モーツァルト,0.996721311,0.568564981,0.081650432,0.115429542,0.960066433,0.100873362,0.474900585,0.566284834,1,7,237333,4,2
54NTYSz947bGE0GpazPMWw,6 Pieces: Songe creux. Tres calme,印象派,エリック・サティ,0.986885246,0.402628435,0.072305377,0.056493575,0.950850994,0.173799127,0.373972343,0.572280279,0,4,92000,4,8
1FZn1BUIZsyO5JPrxcf2IF,ワルツ WoO 84 (ピアノ),古典派,ルートヴィヒ・ヴァン・ベートーヴェン,0.996721311,0.435815744,0.611942663,0.625146012,0.97849731,0.026200873,0.73284259,0.610530547,1,3,122255,3,1
4Sc7vEMgfBLLa4ZHjw7cMM,12の練習曲 L.136 第2巻 IX- 反復音のための,印象派,クロード・ドビュッシー,0.980327869,0.514137794,0.134394551,0.241796751,0.876103549,0.058078603,0.254674724,0.511890407,1,1,199333,3,1
3FqkjN4k01hdMh7KuNgPiH,"Piano Sonata in G Major, Hob. XVI:40: II. Presto",古典派,フランツ・ヨーゼフ・ハイドン,0.993442623,0.715916634,0.039360102,0.111181905,0.95289887,0.099126638,0.713026674,0.624832529,1,7,182667,4,8
68rsjfxOLetO7mB0utsoZk,くるみ割り人形 行進曲 (ピアノ),ロマン派後期,ピョートル・チャイコフスキー,0.986885246,0.257931767,0.255563475,0.135605819,0.921156804,0.030567686,0.510086681,0.467041801,1,7,175842,4,30
640B2Rc5vxJ7lWTl9OVPTU,フランスの古い歌,ロマン派後期,ピョートル・チャイコフスキー,0.957377049,0.484932962,0.53749901,0.290644579,0.949827057,0.24279476,0.683341897,0.283661576,0,7,55347,4,3
2wfiN631oKexBSlnwRtEnD,ピアノ・ソナタ 第9番 イ短調 K.310 - 第2楽章 Andante cantabile con espressione,古典派,ヴォルフガング・アマデウス・モーツァルト,0.973770492,0.272534183,0.074047676,0.005203356,0.906821677,0.055021834,0.316507305,0.560858789,1,5,485507,4,8
7F4cH62E0SddKoPHNeXr5t,"Piano Sonata in B Minor, S. 178: Allegro energico",ロマン派後期,フランツ・リスト,0.980327869,0.55661755,0.177952008,0.227991929,0.877127486,0.088646288,0.179678075,0.677418274,1,11,695520,4,18
1OgHXkgZWTeaZ0swRwRZT3,6 Pieces: Desespoir agreable. Calme,印象派,エリック・サティ,0.980327869,0.507500332,0.234972678,0.473292981,0.887366862,0.358078603,0.490069702,0.353530279,0,0,60333,4,11
4Mxi2wB5LoDD8IniQT84a1,"高雅で感傷的なワルツ, M. 61: III. Modéré",印象派,モーリス・ラヴェル,0.957377049,0.403955927,0.046646076,0.007433365,0.954946745,0.038427948,0.222337027,0.298331994,1,2,98920,4,3
61N4qzT4abkYgYOpAcLlEy,Rag-Time Parade,印象派,エリック・サティ,0.990163934,0.52874021,0.137720757,0.234363385,0.925252554,0.06069869,0.324873777,0.677351286,1,0,157333,3,7
2qOEfQrO3RJrhVOW3SZGSF,前奏曲 第1番,近現代,ジョージ・ガーシュウィン,0.983606557,0.255276782,0.406034688,0.778060953,0.949827057,0.139737991,0.260438542,0.664054126,1,3,108480,4,9
50g6R5AWpvAkmNZRbANvFg,ブルクミュラー25の練習曲: 20. タランテラ,ロマン派前期,ヨハン・ブルグミュラー,0.990163934,0.37740608,0.22071751,0.198258469,0.91398924,0.088646288,0.499569948,0.746617095,0,2,118760,4,5
0KMo5DEeNxEe3VcJrFbOTS,スケーターズ・ワルツ,ロマン派後期,エミール・ワルトトイフェル,0.967213115,0.289791584,0.10461709,0.077200807,0.859720547,0.079039301,0.406784773,0.429896838,1,9,378600,4,9
3IsshUTHu2Btfbr0Vl61lj,鱒 (ピアノ),ロマン派前期,フランツ・シューベルト,0.973770492,0.386698526,0.091470658,0.009450993,0.907845615,0.028384279,0.215154595,0.43039925,1,1,132366,4,11
2DDHFJOVTYJo8lhLfi7FGH,エンターテイナー,印象派,スコット・ジョプリン,0.973770492,0.443780698,0.242892215,0.475416799,0.89248655,0.190393013,0.33244158,0.662379421,1,0,198560,4,18
6EwYCC6Rr0PRUQ2Rvu62jo,ワルツ,ロマン派中期,ヨハネス・ブラームス,1,0.447763175,0.078641007,0.219496655,0.953922807,0.034497817,0.296445646,0.548834405,1,8,103453,3,5
3w9p3X2yARvIB9OsNL4cuR,ツェルニー 40番練習曲: 22. Molto allegro,ロマン派前期,カール・チェルニー,0.990163934,0.605734767,0.019561258,0.178082192,0.899654114,0.168995633,0.396173093,0.603530279,1,7,73120,4,0
